City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,enugu,6.4402,7.4943,309.81,44,75,3.09,NG,1712586825
295,luanshya,-13.1367,28.4166,296.06,84,99,1.26,ZM,1712587076
296,livramento do brumado,-13.6431,-41.8406,304.78,40,8,2.39,BR,1712586928
297,greymouth,-42.4667,171.2,283.34,88,67,2.91,NZ,1712587077
298,mount pearl,47.5166,-52.7813,273.23,96,100,9.26,CA,1712586876
299,mahina,-17.5065,-149.489,299.02,83,20,1.54,PF,1712587078
300,guatrache,-37.6678,-63.5302,297.42,37,6,9.37,AR,1712587078
301,linxia chengguanzhen,35.6003,103.2064,282.18,65,100,0.79,CN,1712587079
302,chernyshevskiy,63.0128,112.4714,254.16,98,33,2.26,RU,1712587079
303,guanambi,-14.2233,-42.7814,304.98,38,7,4.03,BR,1712586741
304,araruama,-22.8728,-42.3431,301.18,69,41,3.62,BR,1712586602
305,lihue,21.9789,-159.3672,294.92,84,75,5.14,US,1712587080
306,punta arenas,-53.15,-70.9167,276.21,81,0,5.66,CL,1712586904
307,colonia,50.9333,6.95,297.83,60,0,2.57,DE,1712586782
308,garoowe,8.4054,48.4845,306.76,27,71,2.95,SO,1712587082
309,smithers,54.7804,-127.1743,273.33,93,100,2.57,CA,1712587082
310,abu dhabi,24.4667,54.3667,306.21,27,0,3.6,AE,1712586422
311,douglas,41.3,-96.167,283.99,72,0,4.63,US,1712587083
312,shanting,35.0753,117.4578,290.23,53,86,0.62,CN,1712587083
313,maumere,-8.6199,122.2111,299.86,86,99,1.07,ID,1712587084
314,la ronge,55.1001,-105.2842,279.29,65,100,1.54,CA,1712587084
315,kattivakkam,13.2167,80.3167,303.21,74,2,4.95,IN,1712587085
316,magadan,59.5667,150.8,270.11,94,100,5.61,RU,1712587072
317,kaa-khem,51.6833,94.7333,283.38,79,94,1.71,RU,1712587085
318,trairi,-3.2778,-39.2689,301.29,84,70,3.42,BR,1712587086
319,khenifra,32.9333,-5.6667,289.25,66,100,0.95,MA,1712587086
320,tarfaya,27.9358,-12.9218,291.97,79,3,10.48,MA,1712587087
321,szigetvar,46.0486,17.8055,298.68,50,100,3.88,HU,1712587087
322,middlebury (village),44.0153,-73.1673,286.61,54,0,1.54,US,1712587087
323,tangalle,6.024,80.7911,301.24,81,100,3.23,LK,1712587088
324,sharm el-sheikh,27.8518,34.305,302.23,23,0,8.23,EG,1712587088
325,liminka,64.8099,25.4155,278.19,81,0,3.09,FI,1712587089
326,loukhi,66.0764,33.0381,271.14,97,100,2.94,RU,1712587089
